Student_ID,Age,Gender,University_Year,Sleep_Duration,Study_Hours,Screen_Time,Caffeine_Intake,Physical_Activity,Sleep_Quality,Weekday_Sleep_Start,Weekend_Sleep_Start,Weekday_Sleep_End,Weekend_Sleep_End
296,21,Male,1st Year,8.0,11.5,2.3,2,64,9,5.5,14.74,8.61,9.07
297,23,Female,4th Year,7.3,2.1,4.0,2,42,2,16.69,11.07,6.07,8.14
298,24,Other,3rd Year,6.8,8.3,3.0,5,38,8,2.28,5.2,8.25,9.07
299,22,Other,1st Year,4.4,2.4,2.9,1,80,5,3.23,19.45,5.33,10.39
300,25,Male,1st Year,6.0,6.4,1.5,1,58,2,14.91,6.0,7.4,9.74
301,18,Female,2nd Year,5.9,1.2,3.6,5,83,10,6.68,4.74,6.94,8.16
302,18,Other,4th Year,5.3,5.4,2.3,4,87,6,9.96,18.99,7.18,7.81
303,20,Other,2nd Year,7.6,9.1,1.5,3,113,10,14.91,4.97,8.7,8.06
304,23,Female,3rd Year,6.5,4.2,1.0,1,85,8,1.24,2.17,8.49,7.68
305,19,Female,1st Year,4.4,8.0,2.7,0,92,4,21.47,7.46,8.14,7.38
306,22,Other,1st Year,5.1,9.5,2.6,2,85,2,16.69,6.3,6.09,8.68
307,21,Other,1st Year,7.4,11.1,3.2,5,43,5,11.08,2.11,8.65,7.45
308,19,Female,3rd Year,4.4,2.8,3.7,0,8,2,11.04,9.89,5.39,7.69
309,25,Other,3rd Year,8.3,4.8,1.2,5,36,2,9.63,15.84,8.41,9.19
310,23,Male,2nd Year,6.5,1.8,3.2,2,73,6,6.21,5.25,6.31,7.66
311,25,Male,2nd Year,6.4,11.9,1.6,2,35,10,8.91,9.71,5.22,7.26
312,24,Female,2nd Year,7.0,11.1,3.6,1,100,9,9.39,10.38,7.68,8.27
313,21,Female,4th Year,8.1,6.5,3.5,1,91,4,20.88,16.93,5.93,7.88
314,24,Female,1st Year,5.7,10.1,2.6,0,27,6,14.09,6.87,5.97,9.06
315,20,Male,1st Year,7.4,6.3,3.1,5,41,7,17.13,20.37,6.22,7.41
316,25,Other,2nd Year,6.8,7.5,1.9,2,42,6,16.43,3.51,5.25,10.01
317,20,Male,1st Year,5.3,1.1,2.4,0,84,8,10.36,15.48,5.71,10.62
318,18,Other,2nd Year,8.4,9.1,3.5,3,87,4,17.81,19.44,5.02,9.97
319,24,Male,4th Year,8.0,1.5,2.4,0,41,1,15.83,13.15,6.78,9.13
320,23,Other,4th Year,7.3,9.9,2.1,4,103,7,17.02,21.15,5.34,10.44
321,25,Male,3rd Year,8.3,9.4,2.5,0,65,3,2.08,8.31,7.73,9.78
322,22,Female,4th Year,8.3,8.5,3.5,4,54,6,2.16,3.95,5.94,7.04
323,21,Male,2nd Year,7.5,0.4,2.0,4,71,2,9.19,5.25,8.77,8.58
324,19,Other,4th Year,8.2,3.6,1.5,4,47,9,2.59,19.45,8.49,10.4
325,23,Male,3rd Year,7.5,3.2,3.1,3,90,1,5.5,19.47,6.16,8.38
326,23,Male,1st Year,7.4,4.3,3.5,0,21,6,9.61,5.73,8.13,7.14
327,20,Male,2nd Year,7.1,1.1,1.3,0,100,6,21.86,3.51,8.21,9.98
328,24,Female,1st Year,7.8,11.2,1.7,3,26,5,5.78,12.79,8.95,10.21
329,25,Male,3rd Year,4.8,6.6,1.4,2,120,5,7.25,12.02,7.39,7.64
330,25,Female,3rd Year,8.4,3.7,2.0,1,92,1,9.08,15.63,5.33,9.15
331,18,Female,3rd Year,8.4,4.8,2.4,0,66,10,6.03,4.11,7.59,7.77
332,18,Male,1st Year,4.1,5.4,3.2,1,107,5,11.23,9.1,7.5,9.88
333,21,Male,1st Year,8.1,7.2,3.0,5,12,2,7.21,16.23,7.55,8.09
334,20,Male,1st Year,4.6,6.2,2.9,5,44,7,2.36,16.02,6.23,8.26
335,23,Other,1st Year,5.7,11.0,2.1,3,9,3,14.11,4.18,8.44,10.38
336,25,Male,3rd Year,7.7,6.0,3.5,5,99,4,7.13,21.73,8.84,8.91
337,22,Female,3rd Year,4.8,11.9,2.4,5,8,3,12.01,15.55,5.87,9.68
338,20,Male,2nd Year,8.1,10.2,3.9,2,53,3,7.84,10.91,5.35,8.61
339,21,Other,2nd Year,8.2,2.5,2.9,2,119,4,5.98,19.04,5.78,8.19
340,21,Male,1st Year,6.5,11.2,1.4,2,118,5,21.05,20.16,8.28,9.5
341,20,Other,4th Year,4.0,1.4,3.0,5,26,1,8.42,5.69,7.71,7.62
342,21,Other,4th Year,5.4,9.8,2.0,3,33,4,17.24,4.11,7.54,8.49
343,20,Male,3rd Year,7.1,4.6,3.1,4,114,8,7.93,5.53,6.61,7.84
344,19,Female,3rd Year,8.9,10.5,1.2,4,0,10,12.17,4.02,7.31,9.78
345,20,Other,3rd Year,7.2,10.4,1.5,1,31,7,5.76,10.94,6.23,10.78
346,24,Male,2nd Year,5.3,9.7,3.6,4,88,9,19.41,5.75,6.91,10.98
347,20,Male,2nd Year,7.2,9.5,1.7,4,92,5,8.85,14.32,8.17,8.8
348,21,Female,3rd Year,6.7,3.7,3.5,2,70,10,16.15,8.67,8.92,8.01
349,25,Other,3rd Year,7.9,1.0,1.8,2,112,4,4.09,2.22,8.73,8.77
350,24,Other,3rd Year,4.5,4.8,2.9,5,66,8,2.5,17.49,8.74,10.39
351,21,Male,4th Year,7.8,2.1,3.1,1,83,9,1.08,14.2,6.61,7.82
352,18,Male,2nd Year,6.7,8.3,2.5,0,19,7,5.28,12.4,6.88,10.81
353,18,Female,4th Year,8.8,4.2,1.9,1,116,7,6.17,19.24,7.82,8.37
354,25,Female,4th Year,5.7,11.7,1.6,1,93,5,17.47,20.38,8.69,10.94
355,25,Other,3rd Year,7.2,7.7,1.1,3,34,4,14.94,5.41,5.57,10.35
356,24,Other,3rd Year,8.7,9.9,1.9,5,98,10,12.22,2.46,6.22,10.23
357,19,Male,1st Year,4.5,1.6,3.0,3,112,1,5.76,13.91,5.56,8.27
358,25,Other,1st Year,8.7,10.3,3.8,1,102,10,2.79,20.25,7.45,7.04
359,18,Female,4th Year,7.4,11.1,3.6,1,90,10,18.03,20.68,6.23,8.53
360,20,Female,2nd Year,4.3,5.8,3.3,1,89,7,2.63,4.17,6.3,8.21
361,21,Male,3rd Year,5.5,7.3,3.4,4,77,1,7.39,12.72,5.28,7.15
362,18,Female,3rd Year,7.5,9.2,3.0,3,16,1,9.17,15.6,6.4,9.02
363,18,Female,4th Year,4.3,2.1,1.8,1,17,5,17.8,12.47,8.45,8.61
364,19,Female,1st Year,6.9,6.0,3.7,2,44,9,20.83,15.63,5.93,9.54
365,24,Female,2nd Year,5.7,4.8,3.0,5,115,6,10.06,12.22,7.78,9.48
366,24,Male,1st Year,7.1,1.8,2.7,5,92,3,8.32,4.81,7.52,7.48
367,23,Male,1st Year,4.2,4.4,1.3,2,83,3,17.57,10.15,8.45,10.91
368,19,Other,1st Year,8.4,0.8,2.3,5,52,7,10.31,8.11,5.53,7.75
369,20,Female,1st Year,8.9,0.3,2.4,4,90,6,4.01,14.71,8.91,8.78
370,24,Other,3rd Year,8.8,1.6,3.6,4,81,9,4.46,7.23,7.33,8.95
371,21,Male,3rd Year,7.7,11.6,2.6,0,67,6,2.53,8.67,8.98,10.25
372,25,Male,1st Year,4.7,6.6,2.1,0,64,5,14.32,19.61,8.65,7.4
373,19,Male,2nd Year,7.8,11.6,3.9,0,113,10,15.32,10.55,5.89,8.71
374,25,Male,4th Year,4.1,5.2,1.3,5,0,7,6.26,16.87,5.22,9.51
375,18,Male,2nd Year,4.1,3.7,2.3,4,57,1,12.95,5.92,6.02,7.86
376,21,Male,2nd Year,5.6,6.1,1.1,4,25,7,20.16,13.48,7.11,9.51
377,21,Male,2nd Year,6.4,5.3,3.2,4,108,3,16.06,2.11,5.69,10.69
378,18,Female,1st Year,7.9,1.3,3.8,2,19,9,13.21,20.15,5.67,10.99
379,19,Other,3rd Year,7.4,7.7,1.8,4,115,6,15.86,6.39,6.85,7.13
380,18,Male,2nd Year,6.2,2.6,3.6,2,86,9,15.02,8.53,5.13,7.94
381,25,Female,1st Year,5.4,7.4,1.9,0,9,5,15.83,6.65,5.49,8.24
382,23,Female,2nd Year,9.0,7.8,3.7,0,58,7,21.13,15.85,6.66,8.6
383,21,Other,2nd Year,6.1,1.8,3.3,5,74,4,8.62,12.16,5.25,7.97
384,22,Male,1st Year,6.3,0.7,3.4,0,40,7,9.46,6.07,6.59,7.81
385,22,Other,3rd Year,4.8,9.4,1.1,5,104,1,8.28,17.35,6.9,10.82
386,25,Male,3rd Year,8.0,5.5,3.9,1,4,7,17.96,17.48,6.81,10.67
387,20,Female,4th Year,7.5,0.7,3.2,1,64,8,15.79,10.98,8.48,7.19
388,24,Female,1st Year,5.1,11.9,1.9,3,16,5,8.99,11.53,7.12,8.36
389,18,Female,4th Year,4.4,0.7,3.5,5,21,2,9.41,16.35,6.87,8.62
390,18,Female,4th Year,7.4,8.3,1.8,3,97,5,11.37,16.04,6.64,7.96
391,20,Other,4th Year,7.3,11.8,3.6,3,119,6,14.64,16.44,8.27,9.52
392,20,Male,3rd Year,5.4,2.9,1.3,1,108,2,2.83,6.57,8.58,9.56
393,25,Male,1st Year,8.8,1.7,3.1,5,40,6,14.86,8.96,8.41,10.4
394,25,Other,4th Year,4.8,1.5,2.6,1,92,6,12.43,5.35,7.69,9.96
395,20,Male,1st Year,6.2,3.6,1.3,3,67,1,7.76,2.49,5.55,9.17
396,21,Female,1st Year,8.7,1.2,1.7,5,68,1,10.6,12.52,6.11,9.61
397,25,Male,3rd Year,6.1,8.3,1.0,3,10,10,14.72,20.67,5.18,8.1
398,23,Female,4th Year,7.2,0.7,2.4,4,55,3,12.85,21.04,8.72,9.37
399,25,Other,4th Year,6.0,6.1,1.9,5,50,10,5.32,16.09,7.64,8.96
400,18,Male,1st Year,5.4,12.0,2.8,5,20,10,16.16,3.35,7.99,7.53
401,25,Other,2nd Year,8.9,9.8,1.9,3,98,3,19.01,11.54,6.25,7.97
402,21,Male,3rd Year,6.0,7.4,1.9,4,75,4,15.42,16.56,8.38,8.17
403,20,Female,3rd Year,8.5,3.7,3.2,2,25,2,4.16,14.02,6.04,10.7
404,18,Other,3rd Year,5.1,7.5,1.1,1,114,9,20.13,10.03,5.01,7.92
405,25,Male,3rd Year,5.1,6.3,3.7,3,18,10,1.17,8.94,6.51,8.16
406,21,Female,4th Year,4.2,5.1,3.6,5,108,7,10.64,18.92,7.28,8.48
407,23,Other,4th Year,7.3,1.6,3.0,1,59,7,1.32,2.46,6.91,9.65
408,25,Other,2nd Year,5.8,10.6,2.8,1,70,6,2.28,11.1,8.45,7.47
409,21,Male,3rd Year,8.3,5.4,3.7,1,46,3,12.49,19.29,5.42,10.82
410,23,Male,3rd Year,6.4,2.3,1.6,2,118,6,17.83,4.13,7.22,10.46
411,20,Male,1st Year,8.8,4.4,1.2,0,70,8,18.54,20.51,7.05,9.31
412,25,Female,4th Year,4.9,5.0,1.7,3,25,8,16.96,3.85,6.13,9.7
413,23,Male,3rd Year,8.3,9.9,3.4,0,39,9,7.09,2.07,8.29,7.07
414,18,Other,2nd Year,7.9,8.8,1.1,0,4,1,16.27,7.99,8.01,8.36
415,20,Other,2nd Year,7.9,9.2,2.7,0,20,1,14.83,6.59,7.93,10.18
416,18,Male,4th Year,8.2,0.1,4.0,1,77,3,12.58,15.25,8.5,7.31
417,22,Male,2nd Year,7.8,5.0,3.6,4,3,3,2.82,3.17,7.89,8.13
418,19,Other,2nd Year,7.1,5.8,2.6,1,22,10,18.02,11.41,5.93,9.34
419,25,Female,4th Year,4.7,0.2,1.2,1,105,8,21.89,7.35,7.82,8.03
420,23,Male,3rd Year,4.2,3.1,3.5,5,83,10,20.74,3.52,6.23,10.74
421,19,Male,3rd Year,8.6,9.1,2.8,5,14,1,3.0,2.5,5.97,7.52
422,19,Other,2nd Year,7.1,1.6,1.3,0,113,2,8.4,5.34,5.29,10.19
423,23,Male,2nd Year,8.0,6.4,1.3,1,115,2,16.27,15.94,7.98,9.03
424,20,Female,3rd Year,6.4,2.6,3.7,0,108,3,18.28,2.67,7.84,10.0
425,25,Other,4th Year,4.6,0.1,3.0,5,92,6,15.82,9.44,5.94,8.24
426,22,Male,2nd Year,4.6,2.9,3.5,4,7,1,19.59,3.39,8.0,9.06
427,18,Other,1st Year,7.4,11.7,3.6,3,40,2,2.23,8.48,8.67,10.43
428,21,Male,4th Year,6.2,9.6,2.7,0,111,1,5.53,15.86,5.43,8.87
429,18,Male,2nd Year,5.0,11.5,2.6,4,18,5,12.29,14.6,5.93,8.44
430,21,Male,2nd Year,6.5,5.9,2.3,3,111,7,3.84,10.99,8.0,9.14
431,18,Female,1st Year,4.3,1.3,2.0,2,102,8,16.76,6.2,6.1,9.87
432,23,Female,1st Year,6.9,6.6,2.3,0,45,10,6.94,15.64,7.5,8.77
433,22,Other,3rd Year,5.3,5.5,3.3,0,27,1,4.02,10.41,5.32,10.76
434,25,Male,4th Year,8.0,10.1,2.8,2,109,7,14.51,15.09,6.81,8.18
435,21,Male,4th Year,5.6,1.2,3.7,2,120,5,6.09,5.68,7.96,8.9
436,25,Female,3rd Year,6.3,5.9,2.3,0,90,10,15.8,12.67,7.75,10.03
437,25,Male,4th Year,4.1,1.8,2.8,2,67,1,15.72,20.47,8.26,9.76
438,25,Female,4th Year,4.4,3.9,2.9,1,14,3,19.75,18.68,8.51,10.45
439,24,Male,4th Year,6.0,8.8,2.8,3,98,7,12.76,20.78,8.09,10.99
440,20,Other,4th Year,6.4,5.7,3.1,3,36,10,6.68,12.01,7.69,8.71
441,18,Male,4th Year,7.0,4.5,1.7,3,0,1,2.26,19.87,5.13,7.44
442,25,Male,1st Year,5.5,4.7,2.5,1,66,7,9.32,19.72,7.14,7.12
443,18,Female,4th Year,7.5,5.5,1.3,2,110,5,3.87,3.18,5.15,9.91
444,25,Male,1st Year,8.3,9.4,2.2,4,23,1,4.73,4.55,8.23,10.5
445,21,Male,4th Year,7.9,10.7,2.5,2,26,1,18.36,12.96,6.28,7.88
446,20,Female,3rd Year,4.2,11.5,3.0,0,39,1,11.8,2.28,7.25,7.63
447,20,Other,2nd Year,6.4,9.4,3.9,5,62,9,19.54,22.0,6.12,7.25
448,23,Other,1st Year,4.5,3.8,2.8,3,60,3,7.67,9.72,8.13,10.29
449,24,Female,4th Year,5.2,8.3,3.2,2,35,5,2.05,9.67,8.55,8.25
450,23,Female,3rd Year,8.9,5.3,2.5,4,97,10,19.12,12.85,6.59,8.61
451,23,Female,2nd Year,4.7,3.1,2.9,0,92,9,6.59,14.06,8.45,9.01
452,23,Female,1st Year,6.5,10.1,1.2,1,23,6,8.72,12.89,6.07,10.36
453,23,Female,2nd Year,7.1,0.5,1.8,1,23,9,9.74,13.7,7.14,9.6
454,23,Other,3rd Year,7.5,10.8,2.1,4,105,8,13.81,7.39,8.44,9.46
455,22,Other,1st Year,6.8,5.5,2.4,0,3,8,14.54,19.29,6.3,7.7
456,20,Female,2nd Year,4.0,7.6,1.1,3,66,1,21.05,18.05,8.82,9.05
457,23,Male,4th Year,5.6,7.9,1.4,2,33,9,17.42,18.39,5.49,9.86
458,25,Female,1st Year,6.6,10.7,1.8,0,56,6,21.68,16.75,5.07,10.89
459,20,Male,2nd Year,4.4,7.6,3.9,1,48,9,9.79,11.49,8.62,7.81
460,20,Female,3rd Year,5.8,7.4,2.0,4,86,3,19.78,19.78,5.27,7.04
461,19,Female,3rd Year,4.2,0.8,2.4,4,52,3,3.67,4.64,8.97,7.3
462,22,Other,1st Year,4.4,6.2,1.6,2,119,6,11.01,16.05,8.81,8.5
463,23,Male,2nd Year,6.0,1.8,2.8,4,115,9,7.31,18.75,5.55,10.28
464,18,Male,1st Year,4.7,8.8,1.8,4,22,7,13.37,8.49,7.15,7.03
465,21,Other,1st Year,6.8,6.1,1.6,0,108,3,10.23,21.24,5.74,8.83
466,24,Other,2nd Year,7.4,8.2,2.5,3,68,3,2.2,9.6,6.71,8.32
467,25,Other,2nd Year,8.0,0.5,1.0,2,94,2,20.26,8.04,5.25,7.21
468,18,Other,4th Year,5.0,1.0,1.0,0,52,9,16.67,17.7,5.9,8.8
469,22,Male,2nd Year,4.8,8.6,1.7,3,61,3,5.62,21.16,6.45,8.02
470,21,Male,3rd Year,4.5,0.9,1.1,0,40,5,19.93,14.73,6.75,8.41
471,22,Female,1st Year,7.2,0.9,1.3,5,56,9,20.41,20.03,8.91,9.82
472,25,Female,1st Year,7.5,0.1,2.0,0,120,8,14.41,19.67,8.23,9.09
473,20,Other,3rd Year,4.2,11.5,3.4,4,59,2,20.06,16.91,7.95,7.5
474,21,Other,2nd Year,8.7,8.9,2.7,3,53,3,9.71,16.09,7.15,10.85
475,20,Other,3rd Year,4.3,4.2,2.5,2,69,2,17.25,11.4,8.36,9.54
476,25,Female,3rd Year,6.7,3.6,1.9,2,100,8,3.19,8.43,6.36,10.06
477,18,Female,4th Year,7.5,4.2,3.8,3,56,6,5.55,10.14,7.84,7.32
478,25,Female,3rd Year,8.4,9.3,2.2,4,9,6,7.31,19.03,8.98,7.19
479,18,Female,1st Year,7.6,7.9,1.3,1,39,9,9.04,18.56,6.26,7.08
480,21,Female,3rd Year,8.0,2.2,2.9,0,6,8,3.87,4.42,7.7,7.76
481,21,Female,1st Year,5.7,2.1,1.3,4,102,4,17.32,10.83,8.38,8.66
482,23,Female,1st Year,8.1,1.2,2.0,5,37,4,3.66,4.6,8.66,10.74
483,22,Other,1st Year,4.4,7.9,2.5,3,84,9,5.42,14.57,7.87,8.83
484,23,Other,2nd Year,8.5,9.2,3.6,0,60,1,6.29,9.71,6.13,8.16
485,22,Other,4th Year,6.7,3.2,2.5,2,83,2,10.21,11.53,6.31,9.25
486,23,Other,1st Year,8.1,0.3,3.1,1,2,2,16.83,15.62,5.08,7.45
487,20,Female,1st Year,6.3,1.0,4.0,5,50,6,13.11,12.6,8.04,9.44
488,21,Male,2nd Year,7.2,11.6,1.4,2,85,4,5.34,11.95,5.17,9.27
489,18,Female,1st Year,6.6,3.5,1.8,3,46,10,21.33,17.98,8.46,10.17
490,22,Male,3rd Year,7.7,9.2,2.2,0,67,3,5.58,15.7,5.47,10.95
491,25,Other,3rd Year,4.4,7.5,2.3,3,91,3,16.96,6.17,5.69,8.0
492,22,Female,4th Year,4.3,4.6,2.2,0,75,3,18.97,3.68,6.91,9.04
493,18,Other,1st Year,5.2,2.5,3.7,4,37,6,19.57,14.8,7.95,10.64
494,23,Female,2nd Year,4.8,1.5,3.1,1,114,8,21.43,15.86,5.56,10.14
495,22,Other,3rd Year,8.4,7.4,2.8,4,35,7,11.0,18.1,6.76,8.95
496,24,Male,2nd Year,5.1,9.3,1.9,4,110,4,17.42,8.43,6.93,10.78
497,20,Male,2nd Year,8.9,7.7,3.5,3,40,4,1.22,15.54,5.85,7.23
498,21,Male,3rd Year,5.7,6.4,3.9,1,68,10,9.94,2.25,5.46,10.72
499,18,Female,2nd Year,4.9,0.5,3.5,0,12,2,19.1,15.49,8.35,7.2
500,21,Male,3rd Year,7.9,11.6,1.0,0,86,1,7.54,14.12,7.01,9.19
