Entity,Code,Year,Bioenergy levelized cost of energy,Geothermal levelized cost of energy,Offshore wind levelized cost of energy,Solar photovoltaic levelized cost of energy,Concentrated solar power levelized cost of energy,Hydropower levelized cost of energy,Onshore wind levelized cost of energy
Ukraine,UKR,2021,,,,,,,0.050322
United Kingdom,GBR,2010,,,,0.5696761,,,0.107885
United Kingdom,GBR,2011,,,,0.5253883,,,0.110804
United Kingdom,GBR,2012,,,,0.30854034,,,0.098789
United Kingdom,GBR,2013,,,,0.24942985,,,0.09834
United Kingdom,GBR,2014,,,,0.20386252,,,0.092896
United Kingdom,GBR,2015,,,,0.15850401,,,0.084812
United Kingdom,GBR,2016,,,,0.1500277,,,0.073319
United Kingdom,GBR,2017,,,,0.122847944,,,0.069639
United Kingdom,GBR,2018,,,,0.12488271,,,0.048678
United Kingdom,GBR,2019,,,,0.09285336,,,0.05946
United Kingdom,GBR,2020,,,,0.07860141,,,0.048109
United Kingdom,GBR,2021,,,,0.072350115,,,0.044436
United Kingdom,GBR,2022,,,,0.07591825,,,0.035009
United Kingdom,GBR,1989,,,,,,,0.215877
United Kingdom,GBR,1990,,,,,,,0.216943
United Kingdom,GBR,1991,,,,,,,0.205264
United Kingdom,GBR,1992,,,,,,,0.220588
United Kingdom,GBR,1993,,,,,,,0.202147
United Kingdom,GBR,1994,,,,,,,0.203937
United Kingdom,GBR,1995,,,,,,,0.192719
United Kingdom,GBR,1996,,,,,,,0.197522
United Kingdom,GBR,1997,,,,,,,0.183595
United Kingdom,GBR,1998,,,,,,,0.181589
United Kingdom,GBR,1999,,,,,,,0.173443
United Kingdom,GBR,2000,,,,,,,0.11892
United Kingdom,GBR,2001,,,,,,,0.134976
United Kingdom,GBR,2002,,,,,,,0.14063
United Kingdom,GBR,2003,,,,,,,0.140726
United Kingdom,GBR,2004,,,,,,,0.148061
United Kingdom,GBR,2005,,,,,,,0.139715
United Kingdom,GBR,2006,,,,,,,0.140183
United Kingdom,GBR,2007,,,,,,,0.133008
United Kingdom,GBR,2008,,,,,,,0.146308
United Kingdom,GBR,2009,,,,,,,0.080513
United States,USA,2010,,,,0.23529936,,,0.108251
United States,USA,2011,,,,0.2801692,,,0.114321
United States,USA,2012,,,,0.24221426,,,0.096984
United States,USA,2013,,,,0.24123786,,,0.079891
United States,USA,2014,,,,0.16496812,,,0.065892
United States,USA,2015,,,,0.1525257,,,0.059846
United States,USA,2016,,,,0.13848644,,,0.055023
United States,USA,2017,,,,0.10059927,,,0.048305
United States,USA,2018,,,,0.07808279,,,0.044458
United States,USA,2019,,,,0.065681085,,,0.040086
United States,USA,2020,,,,0.06406456,,,0.03577
United States,USA,2021,,,,0.058389302,,,0.031009
United States,USA,2022,,,,0.05779235,,,0.028641
United States,USA,1984,,,,,,,0.343405
United States,USA,1985,,,,,,,0.322801
United States,USA,1986,,,,,,,0.291586
United States,USA,1987,,,,,,,0.285343
United States,USA,1988,,,,,,,0.221788
United States,USA,1989,,,,,,,0.206819
United States,USA,1990,,,,,,,0.228502
United States,USA,1991,,,,,,,0.221663
United States,USA,1998,,,,,,,0.126786
United States,USA,1999,,,,,,,0.122039
United States,USA,2000,,,,,,,0.106381
United States,USA,2001,,,,,,,0.100023
United States,USA,2002,,,,,,,0.094636
United States,USA,2003,,,,,,,0.083852
United States,USA,2004,,,,,,,0.092639
United States,USA,2005,,,,,,,0.081724
United States,USA,2006,,,,,,,0.092345
United States,USA,2007,,,,,,,0.091197
United States,USA,2008,,,,,,,0.104001
United States,USA,2009,,,,,,,0.116207
Uruguay,URY,2011,,,,,,,0.123575
Uruguay,URY,2012,,,,,,,0.106822
Uruguay,URY,2013,,,,,,,0.074966
Uruguay,URY,2014,,,,,,,0.079877
Uruguay,URY,2015,,,,,,,0.063777
Uruguay,URY,2017,,,,,,,0.055221
Vietnam,VNM,2011,,,,,,,0.107892
Vietnam,VNM,2012,,,,,,,0.109645
Vietnam,VNM,2013,,,,,,,0.110831
Vietnam,VNM,2015,,,,,,,0.091211
Vietnam,VNM,2016,,,,,,,0.075317
Vietnam,VNM,2017,,,,,,,0.070948
Vietnam,VNM,2019,,,,,,,0.080224
Vietnam,VNM,2020,,,,,,,0.05936
Vietnam,VNM,2021,,,,,,,0.050114
Vietnam,VNM,2022,,,,,,,0.048408
World,OWID_WRL,2010,0.0821152,0.0529684,0.197266,0.445,0.3804899,0.0416066,0.107237
World,OWID_WRL,2011,0.0787527,,0.206095,0.332,0.36842218,0.0391219,0.101918
World,OWID_WRL,2012,0.0676608,0.0884071,0.174729,0.248,0.35704434,0.0407023,0.09328
World,OWID_WRL,2013,0.0864116,0.0647225,0.148688,0.191,0.2823679,0.0454906,0.093891
World,OWID_WRL,2014,0.0865805,0.0663327,0.181632,0.172,0.24780734,0.0454309,0.084304
World,OWID_WRL,2015,0.0763267,0.0619776,0.148289,0.129,0.23805183,0.039134,0.072628
World,OWID_WRL,2016,0.0746233,0.0714875,0.122831,0.113,0.28094873,0.0517789,0.067264
World,OWID_WRL,2017,0.0745076,0.0747867,0.112199,0.089,0.26897225,0.0542749,0.063133
World,OWID_WRL,2018,0.0576973,0.0688719,0.105692,0.075,0.15832223,0.0426274,0.053577
World,OWID_WRL,2019,0.0674838,0.0714061,0.091183,0.066,0.23377784,0.0443094,0.04694
World,OWID_WRL,2020,0.0760089,0.0600127,0.088097,0.059,0.118275374,0.0491859,0.039059
World,OWID_WRL,2021,0.0705189,0.0717274,0.078844,0.051,0.12068952,0.0518801,0.034822
World,OWID_WRL,2022,0.0614693,0.0638487,0.080651,0.049,0.1184612,0.0609687,0.033055
World,OWID_WRL,2007,,0.0524974,0.224028,,,,0.107661
World,OWID_WRL,2008,,0.0583149,0.221206,,,,0.113321
World,OWID_WRL,2009,,0.0793749,0.203922,,,,0.11098
World,OWID_WRL,2000,,,0.177132,,,,0.169965
World,OWID_WRL,2001,,,0.167386,,,,0.149195
World,OWID_WRL,2002,,,0.141406,,,,0.137924
World,OWID_WRL,2003,,,0.130749,,,,0.120838
World,OWID_WRL,2004,,,0.185357,,,,0.122719
World,OWID_WRL,2005,,,0.156486,,,,0.114964
World,OWID_WRL,2006,,,0.154009,,,,0.118251
World,OWID_WRL,1984,,,,,,,0.339407
World,OWID_WRL,1985,,,,,,,0.315155
World,OWID_WRL,1986,,,,,,,0.279865
World,OWID_WRL,1987,,,,,,,0.271556
World,OWID_WRL,1988,,,,,,,0.224154
World,OWID_WRL,1989,,,,,,,0.207401
World,OWID_WRL,1990,,,,,,,0.220471
World,OWID_WRL,1991,,,,,,,0.211528
World,OWID_WRL,1992,,,,,,,0.21191
World,OWID_WRL,1993,,,,,,,0.222956
World,OWID_WRL,1994,,,,,,,0.209772
World,OWID_WRL,1995,,,,,,,0.219476
World,OWID_WRL,1996,,,,,,,0.196082
World,OWID_WRL,1997,,,,,,,0.171793
World,OWID_WRL,1998,,,,,,,0.160972
World,OWID_WRL,1999,,,,,,,0.158667
