"Notes"	"ICD Chapter"	"ICD Chapter Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Feb., 2019"	"2019/02"	443	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Mar., 2019"	"2019/03"	491	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Apr., 2019"	"2019/04"	400	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"May, 2019"	"2019/05"	441	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Jun., 2019"	"2019/06"	383	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Jul., 2019"	"2019/07"	416	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Aug., 2019"	"2019/08"	417	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Sep., 2019"	"2019/09"	384	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Oct., 2019"	"2019/10"	468	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Nov., 2019"	"2019/11"	448	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Dec., 2019"	"2019/12"	445	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Jan., 2020 "	"2020/01"	493	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Feb., 2020 "	"2020/02"	471	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Mar., 2020 "	"2020/03"	517	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Apr., 2020 "	"2020/04"	446	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"May, 2020 "	"2020/05"	413	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Jun., 2020 "	"2020/06"	430	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Jul., 2020 "	"2020/07"	477	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Aug., 2020 "	"2020/08"	487	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Sep., 2020 "	"2020/09"	458	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Oct., 2020 "	"2020/10"	515	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Nov., 2020 "	"2020/11"	484	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Dec., 2020 "	"2020/12"	498	Not Applicable	Not Applicable
"Total"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"			10918	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Jan., 2019"	"2019/01"	1284	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Feb., 2019"	"2019/02"	1194	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Mar., 2019"	"2019/03"	1313	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Apr., 2019"	"2019/04"	1198	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"May, 2019"	"2019/05"	1238	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Jun., 2019"	"2019/06"	1179	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Jul., 2019"	"2019/07"	1168	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Aug., 2019"	"2019/08"	1178	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Sep., 2019"	"2019/09"	1100	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Oct., 2019"	"2019/10"	1201	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Nov., 2019"	"2019/11"	1215	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Dec., 2019"	"2019/12"	1285	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Jan., 2020 "	"2020/01"	1416	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Feb., 2020 "	"2020/02"	1249	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Mar., 2020 "	"2020/03"	1308	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Apr., 2020 "	"2020/04"	1242	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"May, 2020 "	"2020/05"	1188	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Jun., 2020 "	"2020/06"	1210	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Jul., 2020 "	"2020/07"	1209	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Aug., 2020 "	"2020/08"	1301	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Sep., 2020 "	"2020/09"	1258	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Oct., 2020 "	"2020/10"	1284	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Nov., 2020 "	"2020/11"	1370	Not Applicable	Not Applicable
	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Dec., 2020 "	"2020/12"	1386	Not Applicable	Not Applicable
"Total"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"			29974	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Jan., 2019"	"2019/01"	6736	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Feb., 2019"	"2019/02"	6071	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Mar., 2019"	"2019/03"	6465	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Apr., 2019"	"2019/04"	6031	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"May, 2019"	"2019/05"	5966	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Jun., 2019"	"2019/06"	5759	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Jul., 2019"	"2019/07"	5701	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Aug., 2019"	"2019/08"	5561	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Sep., 2019"	"2019/09"	5630	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Oct., 2019"	"2019/10"	6093	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Nov., 2019"	"2019/11"	6204	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Dec., 2019"	"2019/12"	6654	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Jan., 2020 "	"2020/01"	6957	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Feb., 2020 "	"2020/02"	6319	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Mar., 2020 "	"2020/03"	6792	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Apr., 2020 "	"2020/04"	6469	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"May, 2020 "	"2020/05"	6147	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Jun., 2020 "	"2020/06"	5863	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Jul., 2020 "	"2020/07"	6249	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Aug., 2020 "	"2020/08"	6174	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Sep., 2020 "	"2020/09"	5873	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Oct., 2020 "	"2020/10"	6270	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Nov., 2020 "	"2020/11"	6475	Not Applicable	Not Applicable
	"Diseases of the genitourinary system"	"N00-N98"	"Dec., 2020 "	"2020/12"	7184	Not Applicable	Not Applicable
"Total"	"Diseases of the genitourinary system"	"N00-N98"			149643	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Jan., 2019"	"2019/01"	106	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Feb., 2019"	"2019/02"	83	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Mar., 2019"	"2019/03"	88	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Apr., 2019"	"2019/04"	88	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"May, 2019"	"2019/05"	107	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Jun., 2019"	"2019/06"	90	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Jul., 2019"	"2019/07"	89	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Aug., 2019"	"2019/08"	105	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Sep., 2019"	"2019/09"	76	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Oct., 2019"	"2019/10"	88	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Nov., 2019"	"2019/11"	105	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Dec., 2019"	"2019/12"	78	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Jan., 2020 "	"2020/01"	71	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Feb., 2020 "	"2020/02"	80	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Mar., 2020 "	"2020/03"	120	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Apr., 2020 "	"2020/04"	115	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"May, 2020 "	"2020/05"	123	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Jun., 2020 "	"2020/06"	113	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Jul., 2020 "	"2020/07"	114	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Aug., 2020 "	"2020/08"	121	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Sep., 2020 "	"2020/09"	115	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Oct., 2020 "	"2020/10"	99	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Nov., 2020 "	"2020/11"	103	Not Applicable	Not Applicable
	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Dec., 2020 "	"2020/12"	114	Not Applicable	Not Applicable
"Total"	"Pregnancy, childbirth and the puerperium"	"O00-O99"			2391	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Jan., 2019"	"2019/01"	827	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Feb., 2019"	"2019/02"	821	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Mar., 2019"	"2019/03"	912	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Apr., 2019"	"2019/04"	907	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"May, 2019"	"2019/05"	931	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Jun., 2019"	"2019/06"	874	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Jul., 2019"	"2019/07"	900	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Aug., 2019"	"2019/08"	874	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Sep., 2019"	"2019/09"	878	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Oct., 2019"	"2019/10"	852	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Nov., 2019"	"2019/11"	812	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Dec., 2019"	"2019/12"	824	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Jan., 2020 "	"2020/01"	884	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Feb., 2020 "	"2020/02"	820	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Mar., 2020 "	"2020/03"	806	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Apr., 2020 "	"2020/04"	804	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"May, 2020 "	"2020/05"	883	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Jun., 2020 "	"2020/06"	871	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Jul., 2020 "	"2020/07"	827	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Aug., 2020 "	"2020/08"	764	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Sep., 2020 "	"2020/09"	763	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Oct., 2020 "	"2020/10"	765	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Nov., 2020 "	"2020/11"	734	Not Applicable	Not Applicable
	"Certain conditions originating in the perinatal period"	"P00-P96"	"Dec., 2020 "	"2020/12"	751	Not Applicable	Not Applicable
"Total"	"Certain conditions originating in the perinatal period"	"P00-P96"			20084	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Jan., 2019"	"2019/01"	856	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Feb., 2019"	"2019/02"	785	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Mar., 2019"	"2019/03"	867	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Apr., 2019"	"2019/04"	813	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"May, 2019"	"2019/05"	819	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Jun., 2019"	"2019/06"	765	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Jul., 2019"	"2019/07"	743	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Aug., 2019"	"2019/08"	815	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Sep., 2019"	"2019/09"	742	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Oct., 2019"	"2019/10"	832	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Nov., 2019"	"2019/11"	830	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Dec., 2019"	"2019/12"	846	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Jan., 2020 "	"2020/01"	910	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Feb., 2020 "	"2020/02"	837	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Mar., 2020 "	"2020/03"	822	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Apr., 2020 "	"2020/04"	753	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"May, 2020 "	"2020/05"	791	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Jun., 2020 "	"2020/06"	770	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Jul., 2020 "	"2020/07"	773	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Aug., 2020 "	"2020/08"	799	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Sep., 2020 "	"2020/09"	762	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Oct., 2020 "	"2020/10"	776	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Nov., 2020 "	"2020/11"	764	Not Applicable	Not Applicable
	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Dec., 2020 "	"2020/12"	816	Not Applicable	Not Applicable
"Total"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"			19286	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Jan., 2019"	"2019/01"	2738	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Feb., 2019"	"2019/02"	2451	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Mar., 2019"	"2019/03"	2718	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Apr., 2019"	"2019/04"	2557	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"May, 2019"	"2019/05"	2575	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Jun., 2019"	"2019/06"	2513	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Jul., 2019"	"2019/07"	2622	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Aug., 2019"	"2019/08"	2668	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Sep., 2019"	"2019/09"	2591	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Oct., 2019"	"2019/10"	2817	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Nov., 2019"	"2019/11"	2885	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Dec., 2019"	"2019/12"	3273	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Jan., 2020 "	"2020/01"	2755	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Feb., 2020 "	"2020/02"	2611	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Mar., 2020 "	"2020/03"	2821	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Apr., 2020 "	"2020/04"	2837	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"May, 2020 "	"2020/05"	2580	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Jun., 2020 "	"2020/06"	2527	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Jul., 2020 "	"2020/07"	2941	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Aug., 2020 "	"2020/08"	2910	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Sep., 2020 "	"2020/09"	2715	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Oct., 2020 "	"2020/10"	2860	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Nov., 2020 "	"2020/11"	3032	Not Applicable	Not Applicable
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Dec., 2020 "	"2020/12"	3509	Not Applicable	Not Applicable
"Total"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"			66506	Not Applicable	Not Applicable
	"Codes for special purposes"	"U00-U99"	"Aug., 2019"	"2019/08"	17	Not Applicable	Not Applicable
	"Codes for special purposes"	"U00-U99"	"Feb., 2020 "	"2020/02"	18	Not Applicable	Not Applicable
	"Codes for special purposes"	"U00-U99"	"Mar., 2020 "	"2020/03"	6759	Not Applicable	Not Applicable
	"Codes for special purposes"	"U00-U99"	"Apr., 2020 "	"2020/04"	61843	Not Applicable	Not Applicable
	"Codes for special purposes"	"U00-U99"	"May, 2020 "	"2020/05"	35195	Not Applicable	Not Applicable
	"Codes for special purposes"	"U00-U99"	"Jun., 2020 "	"2020/06"	15774	Not Applicable	Not Applicable
	"Codes for special purposes"	"U00-U99"	"Jul., 2020 "	"2020/07"	28179	Not Applicable	Not Applicable
	"Codes for special purposes"	"U00-U99"	"Aug., 2020 "	"2020/08"	26942	Not Applicable	Not Applicable
	"Codes for special purposes"	"U00-U99"	"Sep., 2020 "	"2020/09"	16812	Not Applicable	Not Applicable
	"Codes for special purposes"	"U00-U99"	"Oct., 2020 "	"2020/10"	22036	Not Applicable	Not Applicable
	"Codes for special purposes"	"U00-U99"	"Nov., 2020 "	"2020/11"	47948	Not Applicable	Not Applicable
	"Codes for special purposes"	"U00-U99"	"Dec., 2020 "	"2020/12"	89408	Not Applicable	Not Applicable
"Total"	"Codes for special purposes"	"U00-U99"			350948	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Jan., 2019"	"2019/01"	20430	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Feb., 2019"	"2019/02"	18747	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Mar., 2019"	"2019/03"	20855	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Apr., 2019"	"2019/04"	19918	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"May, 2019"	"2019/05"	21167	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Jun., 2019"	"2019/06"	21204	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Jul., 2019"	"2019/07"	22149	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Aug., 2019"	"2019/08"	22043	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Sep., 2019"	"2019/09"	21050	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Oct., 2019"	"2019/10"	21383	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Nov., 2019"	"2019/11"	20870	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Dec., 2019"	"2019/12"	21534	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Jan., 2020 "	"2020/01"	21642	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Feb., 2020 "	"2020/02"	20497	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Mar., 2020 "	"2020/03"	22035	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Apr., 2020 "	"2020/04"	21506	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"May, 2020 "	"2020/05"	24922	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Jun., 2020 "	"2020/06"	24820	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Jul., 2020 "	"2020/07"	26272	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Aug., 2020 "	"2020/08"	25915	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Sep., 2020 "	"2020/09"	24103	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Oct., 2020 "	"2020/10"	24282	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Nov., 2020 "	"2020/11"	23532	Not Applicable	Not Applicable
	"External causes of morbidity and mortality"	"V01-Y89"	"Dec., 2020 "	"2020/12"	24179	Not Applicable	Not Applicable
"Total"	"External causes of morbidity and mortality"	"V01-Y89"			535055	Not Applicable	Not Applicable
"Total"					6238567	Not Applicable	Not Applicable
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"Year/Month: 2019; 2020"
"Group By: ICD Chapter; Month"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Nov 28, 2022 5:10:32 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on Nov 28, 2022 5:10:32 PM"
"---"
Messages:
